iter	Passed	Remaining
437	1350	1733
438	1352	1728
439	1354	1724
440	1356	1719
441	1358	1714
442	1360	1710
443	1362	1705
444	1363	1701
445	1365	1696
446	1368	1692
447	1370	1688
448	1371	1683
449	1373	1679
450	1376	1675
451	1378	1671
452	1380	1666
453	1382	1662
454	1384	1658
455	1386	1653
456	1388	1649
457	1390	1645
458	1392	1641
459	1394	1637
460	1396	1632
461	1398	1628
462	1400	1624
463	1402	1620
464	1404	1615
465	1406	1612
466	1408	1607
467	1410	1603
468	1412	1598
469	1414	1595
470	1416	1590
471	1418	1586
472	1420	1582
473	1422	1579
474	1424	1574
475	1426	1570
476	1428	1566
477	1430	1562
478	1432	1558
479	1434	1553
480	1436	1549
481	1438	1545
482	1440	1541
483	1441	1537
484	1443	1532
485	1445	1528
486	1447	1524
487	1449	1520
488	1451	1516
489	1453	1512
490	1455	1508
491	1457	1504
492	1459	1500
493	1461	1496
494	1463	1492
495	1465	1488
496	1466	1484
497	1468	1480
498	1471	1476
499	1472	1472
500	1474	1468
501	1476	1464
502	1478	1461
503	1480	1457
504	1482	1453
505	1484	1449
506	1486	1445
507	1488	1441
508	1490	1437
509	1492	1433
510	1494	1430
511	1497	1426
512	1499	1423
513	1501	1419
514	1503	1415
515	1504	1411
516	1506	1407
517	1508	1403
518	1511	1400
519	1513	1396
520	1514	1392
521	1516	1388
522	1519	1385
523	1521	1381
524	1523	1378
525	1525	1374
526	1527	1370
527	1529	1367
528	1531	1363
529	1533	1360
530	1535	1356
531	1537	1352
532	1539	1348
533	1541	1345
534	1543	1341
535	1544	1337
536	1546	1333
537	1548	1329
538	1550	1326
539	1552	1322
540	1553	1318
541	1555	1314
542	1557	1311
543	1559	1307
544	1561	1303
545	1563	1299
546	1565	1296
547	1567	1293
548	1569	1289
549	1571	1285
550	1573	1282
551	1575	1278
552	1577	1274
553	1579	1271
554	1581	1267
555	1583	1264
556	1584	1260
557	1586	1256
558	1589	1253
559	1591	1250
560	1592	1246
561	1594	1242
562	1596	1239
563	1599	1236
564	1601	1232
565	1603	1229
566	1605	1226
567	1607	1222
568	1609	1218
569	1611	1215
570	1613	1212
571	1615	1208
572	1617	1205
573	1619	1201
574	1621	1198
575	1623	1195
576	1625	1191
577	1626	1187
578	1629	1184
579	1631	1181
580	1632	1177
581	1634	1174
582	1636	1170
583	1638	1167
584	1640	1163
585	1642	1160
586	1644	1157
587	1646	1153
588	1648	1150
589	1650	1146
590	1662	1150
591	1664	1147
592	1666	1143
593	1668	1140
594	1670	1137
595	1672	1133
596	1674	1130
597	1676	1126
598	1678	1123
599	1680	1120
600	1682	1116
601	1684	1113
602	1686	1110
603	1687	1106
604	1689	1103
605	1691	1100
606	1694	1096
607	1696	1093
608	1698	1090
609	1700	1087
610	1702	1083
611	1704	1080
612	1706	1077
613	1708	1074
614	1710	1071
615	1712	1067
616	1714	1064
617	1716	1061
618	1718	1057
619	1720	1054
620	1722	1051
621	1724	1048
622	1726	1044
623	1728	1041
624	1730	1038
625	1732	1035
626	1734	1031
627	1736	1028
628	1738	1025
629	1740	1021
630	1742	1018
631	1743	1015
632	1745	1012
633	1747	1008
634	1749	1005
635	1751	1002
636	1753	999
637	1755	995
638	1757	992
639	1759	989
640	1760	986
641	1762	982
642	1765	980
643	1766	976
644	1768	973
645	1770	970
646	1772	967
647	1774	963
648	1776	960
649	1778	957
650	1780	954
651	1782	951
652	1783	947
653	1785	944
654	1788	941
655	1789	938
656	1791	935
657	1793	932
658	1795	929
659	1798	926
660	1800	923
661	1802	920
662	1804	917
663	1806	914
664	1808	911
665	1810	907
666	1813	905
667	1814	902
668	1816	898
669	1818	895
670	1820	892
671	1822	889
672	1824	886
673	1826	883
674	1827	880
675	1829	876
676	1831	874
677	1833	870
678	1836	868
679	1838	865
680	1839	861
681	1841	858
682	1843	855
683	1845	852
684	1847	849
685	1849	846
686	1851	843
687	1853	840
688	1855	837
689	1857	834
690	1859	831
691	1861	828
692	1863	825
693	1865	822
694	1867	819
695	1868	816
696	1870	813
697	1872	810
698	1874	807
699	1876	804
700	1878	801
701	1880	798
702	1881	795
703	1884	792
704	1886	789
705	1887	786
706	1889	783
707	1891	780
708	1893	777
709	1895	774
710	1897	771
711	1900	768
712	1902	765
713	1905	763
714	1908	760
715	1910	757
716	1912	754
717	1913	751
718	1916	748
719	1918	745
720	1919	742
721	1921	739
722	1924	737
723	1926	734
724	1928	731
725	1930	728
726	1932	725
727	1934	722
728	1936	719
729	1938	716
730	1940	713
731	1942	711
732	1943	708
733	1945	705
734	1948	702
735	1950	699
736	1952	696
737	1954	693
738	1956	691
739	1958	688
740	1960	685
741	1962	682
742	1963	679
743	1965	676
744	1967	673
745	1969	670
746	1971	667
747	1973	664
748	1975	661
749	1977	659
750	1979	656
751	1981	653
752	1983	650
753	1985	647
754	1987	644
755	1988	641
756	1990	639
757	1992	636
758	1995	633
759	1997	630
760	1998	627
761	2000	624
762	2003	622
763	2005	619
764	2007	616
765	2009	613
766	2011	611
767	2013	608
768	2015	605
769	2017	602
770	2019	599
771	2021	597
772	2023	594
773	2025	591
774	2027	588
775	2029	585
776	2031	583
777	2033	580
778	2035	577
779	2037	574
780	2039	571
781	2042	569
782	2043	566
783	2045	563
784	2047	560
785	2049	558
786	2051	555
787	2053	552
788	2055	549
789	2057	546
790	2059	544
791	2061	541
792	2063	538
793	2064	535
794	2067	533
795	2068	530
796	2070	527
797	2072	524
798	2074	521
799	2076	519
800	2078	516
801	2080	513
802	2082	510
803	2084	508
804	2085	505
805	2087	502
806	2090	499
807	2092	497
808	2094	494
809	2096	491
810	2098	489
811	2100	486
812	2102	483
813	2104	480
814	2106	478
815	2108	475
816	2110	472
817	2112	470
818	2114	467
819	2116	464
820	2118	461
821	2120	459
822	2122	456
823	2124	453
824	2126	451
825	2129	448
826	2130	445
827	2132	443
828	2134	440
829	2137	437
830	2139	435
831	2141	432
832	2142	429
833	2145	426
834	2146	424
835	2148	421
836	2150	418
837	2152	416
838	2154	413
839	2156	410
840	2158	408
841	2160	405
842	2162	402
843	2164	400
844	2166	397
845	2168	394
846	2169	391
847	2171	389
848	2173	386
849	2174	383
850	2177	381
851	2178	378
852	2180	375
853	2182	373
854	2185	370
855	2187	367
856	2188	365
857	2190	362
858	2193	359
859	2195	357
860	2196	354
861	2198	351
862	2201	349
863	2202	346
864	2204	344
865	2206	341
866	2208	338
867	2210	336
868	2212	333
869	2214	330
870	2216	328
871	2218	325
872	2220	322
873	2222	320
874	2224	317
875	2226	315
876	2228	312
877	2230	309
878	2232	307
879	2234	304
880	2236	302
881	2238	299
882	2240	296
883	2242	294
884	2244	291
885	2246	289
886	2248	286
887	2249	283
888	2251	281
889	2253	278
890	2255	275
891	2257	273
892	2259	270
893	2260	268
894	2262	265
895	2264	262
896	2266	260
897	2268	257
898	2269	255
899	2272	252
900	2273	249
901	2275	247
902	2277	244
903	2280	242
904	2282	239
905	2284	236
906	2285	234
907	2288	231
908	2290	229
909	2292	226
910	2294	224
911	2296	221
912	2298	219
913	2300	216
914	2302	213
915	2304	211
916	2306	208
917	2308	206
918	2309	203
919	2312	201
920	2314	198
921	2316	195
922	2318	193
923	2320	190
924	2322	188
925	2323	185
926	2325	183
927	2328	180
928	2330	178
929	2331	175
930	2333	172
931	2336	170
932	2337	167
933	2339	165
934	2341	162
935	2343	160
936	2345	157
937	2347	155
938	2349	152
939	2351	150
940	2352	147
941	2354	144
942	2356	142
943	2358	139
944	2360	137
945	2362	134
946	2364	132
947	2366	129
948	2368	127
949	2370	124
950	2371	122
951	2373	119
952	2376	117
953	2378	114
954	2379	112
955	2382	109
956	2384	107
957	2385	104
958	2387	102
959	2389	99
960	2391	97
961	2393	94
962	2395	92
963	2396	89
964	2398	87
965	2400	84
966	2402	81
967	2404	79
968	2406	76
969	2408	74
970	2410	72
971	2412	69
972	2414	67
973	2416	64
974	2418	62
975	2420	59
976	2422	57
977	2424	54
978	2426	52
979	2428	49
980	2431	47
981	2433	44
982	2434	42
983	2436	39
984	2438	37
985	2440	34
986	2442	32
987	2443	29
988	2446	27
989	2448	24
990	2450	22
991	2451	19
992	2454	17
993	2456	14
994	2457	12
995	2459	9
996	2461	7
997	2463	4
998	2465	2
999	2467	0
